Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 2 [43520/49000 (89%)]	Train Loss: 1.135077	Val Loss: 1.171580	Val Acc: 58.28125
Train Epoch: 2 [44800/49000 (91%)]	Train Loss: 1.401167	Val Loss: 1.091897	Val Acc: 60.0
Train Epoch: 2 [46080/49000 (94%)]	Train Loss: 1.031518	Val Loss: 1.219883	Val Acc: 58.28125
Train Epoch: 2 [47360/49000 (97%)]	Train Loss: 1.190241	Val Loss: 1.168379	Val Acc: 57.03125
Train Epoch: 2 [48640/49000 (99%)]	Train Loss: 1.206700	Val Loss: 1.170906	Val Acc: 59.53125
Train Epoch: 3 [0/49000 (0%)]	Train Loss: 2.368712	Val Loss: 1.246307	Val Acc: 57.5
Train Epoch: 3 [1280/49000 (3%)]	Train Loss: 0.982636	Val Loss: 1.160259	Val Acc: 60.46875
Train Epoch: 3 [2560/49000 (5%)]	Train Loss: 1.050442	Val Loss: 1.123178	Val Acc: 61.25
Train Epoch: 3 [3840/49000 (8%)]	Train Loss: 0.930576	Val Loss: 1.113603	Val Acc: 63.4375
Train Epoch: 3 [5120/49000 (10%)]	Train Loss: 1.081832	Val Loss: 1.111775	Val Acc: 60.46875
Train Epoch: 3 [6400/49000 (13%)]	Train Loss: 1.086846	Val Loss: 1.128633	Val Acc: 60.9375
Train Epoch: 3 [7680/49000 (16%)]	Train Loss: 1.002073	Val Loss: 1.052516	Val Acc: 63.4375
Train Epoch: 3 [8960/49000 (18%)]	Train Loss: 0.932438	Val Loss: 1.096468	Val Acc: 62.03125
Train Epoch: 3 [10240/49000 (21%)]	Train Loss: 1.119673	Val Loss: 1.078980	Val Acc: 62.03125
Train Epoch: 3 [11520/49000 (23%)]	Train Loss: 1.111330	Val Loss: 1.060038	Val Acc: 63.28125
Train Epoch: 3 [12800/49000 (26%)]	Train Loss: 1.041903	Val Loss: 1.112557	Val Acc: 59.21875
Train Epoch: 3 [14080/49000 (29%)]	Train Loss: 0.929673	Val Loss: 1.070340	Val Acc: 62.03125
Train Epoch: 3 [15360/49000 (31%)]	Train Loss: 1.021274	Val Loss: 1.074866	Val Acc: 62.8125
Train Epoch: 3 [16640/49000 (34%)]	Train Loss: 0.955713	Val Loss: 1.074848	Val Acc: 62.03125
Train Epoch: 3 [17920/49000 (37%)]	Train Loss: 0.939703	Val Loss: 1.047800	Val Acc: 62.1875
Train Epoch: 3 [19200/49000 (39%)]	Train Loss: 0.971558	Val Loss: 1.018410	Val Acc: 65.15625
Train Epoch: 3 [20480/49000 (42%)]	Train Loss: 0.798630	Val Loss: 1.052969	Val Acc: 62.8125
Train Epoch: 3 [21760/49000 (44%)]	Train Loss: 1.023613	Val Loss: 0.986041	Val Acc: 65.46875
Train Epoch: 3 [23040/49000 (47%)]	Train Loss: 0.893653	Val Loss: 1.011212	Val Acc: 64.53125
Train Epoch: 3 [24320/49000 (50%)]	Train Loss: 1.025399	Val Loss: 0.949706	Val Acc: 66.875
Train Epoch: 3 [25600/49000 (52%)]	Train Loss: 1.017790	Val Loss: 0.949146	Val Acc: 68.75
Train Epoch: 3 [26880/49000 (55%)]	Train Loss: 0.840970	Val Loss: 0.998088	Val Acc: 67.03125
Train Epoch: 3 [28160/49000 (57%)]	Train Loss: 1.077848	Val Loss: 1.003014	Val Acc: 64.53125
Train Epoch: 3 [29440/49000 (60%)]	Train Loss: 1.053751	Val Loss: 1.002391	Val Acc: 65.3125
Train Epoch: 3 [30720/49000 (63%)]	Train Loss: 0.965177	Val Loss: 0.998305	Val Acc: 64.84375
Train Epoch: 3 [32000/49000 (65%)]	Train Loss: 0.786857	Val Loss: 0.991503	Val Acc: 66.40625
Train Epoch: 3 [33280/49000 (68%)]	Train Loss: 0.826698	Val Loss: 0.991694	Val Acc: 65.9375
Train Epoch: 3 [34560/49000 (70%)]	Train Loss: 0.875077	Val Loss: 0.950241	Val Acc: 67.03125
Train Epoch: 3 [35840/49000 (73%)]	Train Loss: 0.951532	Val Loss: 0.925549	Val Acc: 68.125
Train Epoch: 3 [37120/49000 (76%)]	Train Loss: 0.956084	Val Loss: 0.927302	Val Acc: 66.71875
Train Epoch: 3 [38400/49000 (78%)]	Train Loss: 0.863660	Val Loss: 0.923998	Val Acc: 69.21875
Train Epoch: 3 [39680/49000 (81%)]	Train Loss: 0.720836	Val Loss: 0.933353	Val Acc: 69.0625
Train Epoch: 3 [40960/49000 (84%)]	Train Loss: 0.838233	Val Loss: 0.961074	Val Acc: 66.25
Train Epoch: 3 [42240/49000 (86%)]	Train Loss: 0.907756	Val Loss: 0.954032	Val Acc: 68.125
Train Epoch: 3 [43520/49000 (89%)]	Train Loss: 0.867230	Val Loss: 0.923679	Val Acc: 68.4375
Train Epoch: 3 [44800/49000 (91%)]	Train Loss: 0.927222	Val Loss: 0.899809	Val Acc: 68.75
Train Epoch: 3 [46080/49000 (94%)]	Train Loss: 0.771155	Val Loss: 0.920999	Val Acc: 67.96875
Train Epoch: 3 [47360/49000 (97%)]	Train Loss: 0.932644	Val Loss: 0.871210	Val Acc: 69.53125
Train Epoch: 3 [48640/49000 (99%)]	Train Loss: 0.783454	Val Loss: 0.875858	Val Acc: 69.84375
Train Epoch: 4 [0/49000 (0%)]	Train Loss: 2.306584	Val Loss: 1.002542	Val Acc: 63.28125
Train Epoch: 4 [1280/49000 (3%)]	Train Loss: 0.934563	Val Loss: 0.917210	Val Acc: 68.75
Train Epoch: 4 [2560/49000 (5%)]	Train Loss: 0.834416	Val Loss: 0.894355	Val Acc: 68.59375
Train Epoch: 4 [3840/49000 (8%)]	Train Loss: 0.796914	Val Loss: 0.969241	Val Acc: 65.3125
Train Epoch: 4 [5120/49000 (10%)]	Train Loss: 0.765559	Val Loss: 0.903715	Val Acc: 69.6875
